"id","created_at","job","interview","alternate_url",position_level
"124600364","2025-08-31T16:00:00+0300","Системный аналитик",true,"https://hh.ru/vacancy/124600364",-
"124678985","2025-08-31T17:48:44+0300","Head of sales / Международный проект",false,"https://hh.ru/vacancy/124678985",-
"124680025","2025-08-31T22:34:25+0300","Sales Director (B2B)",false,"https://hh.ru/vacancy/124680025",-
"124680060","2025-08-31T22:49:52+0300","Business office manager (специалист)",false,"https://hh.ru/vacancy/124680060",-
"124580689","2025-08-31T10:24:54+0300","Robotics Software Engineer",false,"https://hh.ru/vacancy/124580689",-
"124427288","2025-08-31T11:19:29+0300","ML-инженер (Python)",false,"https://hh.ru/vacancy/124427288",-
"124593511","2025-08-31T13:58:53+0300","Технический директор (CTO)",false,"https://hh.ru/vacancy/124593511",-
"124444469","2025-08-31T14:45:39+0300","Python Разработчик (Strong middle)",false,"https://hh.ru/vacancy/124444469",middle
"124600660","2025-08-31T16:05:26+0300","Python-разработчик",false,"https://hh.ru/vacancy/124600660",-
"124600887","2025-08-31T16:08:19+0300","Middle / Senior PHP разработчик (Laravel)",false,"https://hh.ru/vacancy/124600887",middle/senior
