         395630 function calls (373519 primitive calls) in 0.982 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      605    0.535    0.001    0.535    0.001 {built-in method posix.stat}
      113    0.148    0.001    0.148    0.001 {built-in method _io.open_code}
      113    0.050    0.000    0.050    0.000 {method 'read' of '_io.BufferedReader' objects}
      113    0.048    0.000    0.048    0.000 {method '__exit__' of '_io._IOBase' objects}
       12    0.023    0.002    0.023    0.002 {built-in method posix.listdir}
 4542/219    0.016    0.000    0.048    0.000 _parser.py:512(_parse)
      113    0.015    0.000    0.015    0.000 {built-in method marshal.loads}
 5046/181    0.011    0.000    0.024    0.000 _compiler.py:37(_compile)
      8/6    0.009    0.001    0.016    0.003 {built-in method _imp.create_dynamic}
    62403    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
55581/49846    0.005    0.000    0.006    0.000 {built-in method builtins.len}
  432/429    0.005    0.000    0.058    0.000 {built-in method builtins.__build_class__}
    25875    0.005    0.000    0.008    0.000 _parser.py:168(__getitem__)
 1101/181    0.004    0.000    0.048    0.000 _parser.py:452(_parse_sub)
      663    0.004    0.000    0.006    0.000 _compiler.py:243(_optimize_charset)
 4984/353    0.004    0.000    0.006    0.000 _parser.py:178(getwidth)
    12611    0.004    0.000    0.005    0.000 _parser.py:261(get)
    34976    0.003    0.000    0.003    0.000 {built-in method builtins.isinstance}
        1    0.003    0.003    0.034    0.034 dammit.py:128(_populate_class_variables)
    20107    0.003    0.000    0.003    0.000 _parser.py:240(__next)
      308    0.002    0.000    0.388    0.001 <frozen importlib._bootstrap_external>:1593(find_spec)
      496    0.002    0.000    0.003    0.000 css_types.py:41(__init__)
    10342    0.002    0.000    0.003    0.000 _parser.py:256(match)
    13423    0.002    0.000    0.002    0.000 {built-in method builtins.min}
     5602    0.002    0.000    0.002    0.000 _parser.py:113(__init__)
    11175    0.002    0.000    0.002    0.000 _parser.py:164(__len__)
      247    0.002    0.000    0.083    0.000 __init__.py:280(_compile)
        8    0.001    0.000    0.001    0.000 {built-in method _imp.exec_dynamic}
     1634    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
      183    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:162(__enter__)
     6793    0.001    0.000    0.002    0.000 _parser.py:176(append)
       16    0.001    0.000    0.003    0.000 enum.py:1708(convert_class)
      112    0.001    0.000    0.002    0.000 _compiler.py:467(_get_charset_prefix)
      113    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
      113    0.001    0.000    0.413    0.004 <frozen importlib._bootstrap_external>:1062(get_code)
     2871    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      154    0.001    0.000    0.422    0.003 <frozen importlib._bootstrap>:1240(_find_spec)
