         395618 function calls (373509 primitive calls) in 1.928 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    62401    0.010    0.000    0.010    0.000 {method 'append' of 'list' objects}
55577/49844    0.009    0.000    0.011    0.000 {built-in method builtins.len}
    34974    0.008    0.000    0.008    0.000 {built-in method builtins.isinstance}
    25873    0.009    0.000    0.019    0.000 _parser.py:168(__getitem__)
    20107    0.005    0.000    0.005    0.000 _parser.py:240(__next)
    13423    0.003    0.000    0.003    0.000 {built-in method builtins.min}
    12611    0.007    0.000    0.010    0.000 _parser.py:261(get)
    11173    0.003    0.000    0.004    0.000 _parser.py:164(__len__)
    10342    0.003    0.000    0.005    0.000 _parser.py:256(match)
     7504    0.001    0.000    0.001    0.000 {built-in method builtins.ord}
     6793    0.002    0.000    0.004    0.000 _parser.py:176(append)
     5602    0.005    0.000    0.005    0.000 _parser.py:113(__init__)
     5500    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
 5046/181    0.020    0.000    0.048    0.000 _compiler.py:37(_compile)
 4984/353    0.008    0.000    0.013    0.000 _parser.py:178(getwidth)
 4542/219    0.030    0.000    0.094    0.000 _parser.py:512(_parse)
     4335    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     4017    0.001    0.000    0.002    0.000 {built-in method builtins.max}
     3754    0.001    0.000    0.001    0.000 {method 'add' of 'set' objects}
     3494    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     3429    0.001    0.000    0.002    0.000 _parser.py:293(tell)
     3236    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
     2871    0.002    0.000    0.002    0.000 {method 'match' of 're.Pattern' objects}
     2729    0.001    0.000    0.001    0.000 {method 'find' of 'bytearray' objects}
     2585    0.001    0.000    0.003    0.000 css_parser.py:317(match)
     2210    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1986    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     1787    0.001    0.000    0.001    0.000 {built-in method builtins.hasattr}
     1754    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
     1719    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     1655    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_iscased}
     1634    0.003    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:126(_path_join)
     1359    0.001    0.000    0.002    0.000 enum.py:1544(_get_value)
     1226    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
 1101/181    0.008    0.000    0.095    0.001 _parser.py:452(_parse_sub)
     1052    0.001    0.000    0.001    0.000 typing.py:1134(_is_dunder)
      996    0.001    0.000    0.002    0.000 _parser.py:172(__setitem__)
      991    0.001    0.000    0.002    0.000 _parser.py:312(_class_escape)
      987    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
  985/754    0.000    0.000    0.001    0.000 {built-in method builtins.hash}
      974    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      961    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      942    0.000    0.000    0.000    0.000 {built-in method _sre.unicode_tolower}
      933    0.001    0.000    0.002    0.000 typing.py:1188(__setattr__)
      820    0.000    0.000    0.000    0.000 {method 'group' of 're.Match' objects}
      784    0.001    0.000    0.001    0.000 {built-in method fromkeys}
      768    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      768    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
      759    0.001    0.000    0.001    0.000 _parser.py:372(_escape)
      726    0.001    0.000    0.002    0.000 _parser.py:449(_uniq)
      717    0.000    0.000    0.000    0.000 {method 'items' of 'dict' objects}
      703    0.000    0.000    0.000    0.000 _parser.py:83(groups)
      676    0.000    0.000    0.001    0.000 _compiler.py:398(_simple)
      666    0.000    0.000    0.000    0.000 {method 'end' of 're.Match' objects}
      663    0.001    0.000    0.002    0.000 _compiler.py:216(_compile_charset)
      663    0.009    0.000    0.013    0.000 _compiler.py:243(_optimize_charset)
      605    1.063    0.002    1.063    0.002 {built-in method posix.stat}
      605    0.001    0.000    1.063    0.002 <frozen importlib._bootstrap_external>:140(_path_stat)
  603/511    0.002    0.000    0.004    0.000 {built-in method __new__ of type object at 0xa44b40}
      587    0.000    0.000    0.000    0.000 typing.py:1252(__eq__)
      553    0.000    0.000    0.003    0.000 {method 'extend' of 'list' objects}
      496    0.003    0.000    0.005    0.000 css_types.py:41(__init__)
      485    0.001    0.000    0.001    0.000 enum.py:850(__setattr__)
      484    0.000    0.000    0.000    0.000 css_types.py:73(__hash__)
      477    0.000    0.000    0.000    0.000 typing.py:1246(<genexpr>)
      458    0.000    0.000    0.001    0.000 enum.py:1129(__new__)
      458    0.001    0.000    0.001    0.000 enum.py:726(__call__)
      452    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:134(<genexpr>)
      440    0.000    0.000    0.000    0.000 socket.py:94(<lambda>)
      439    0.000    0.000    0.000    0.000 socket.py:89(<lambda>)
      438    0.000    0.000    0.000    0.000 socket.py:84(<lambda>)
      437    0.000    0.000    0.000    0.000 socket.py:79(<lambda>)
  432/429    0.009    0.000    0.110    0.000 {built-in method builtins.__build_class__}
      431    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      431    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      423    0.000    0.000    0.000    0.000 enum.py:48(_is_dunder)
      412    0.000    0.000    0.001    0.000 _parser.py:265(getwhile)
      394    0.000    0.000    0.000    0.000 enum.py:59(_is_sunder)
      394    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
      372    0.000    0.000    0.000    0.000 enum.py:38(_is_descriptor)
      367    0.000    0.000    0.066    0.000 <frozen importlib._bootstrap_external>:1469(_path_importer_cache)
      366    0.000    0.000    0.000    0.000 {built-in method _thread.get_ident}
      366    0.000    0.000    0.000    0.000 {method '__exit__' of '_thread.RLock' objects}
      362    0.000    0.000    0.000    0.000 _compiler.py:570(isstring)
      362    0.001    0.000    0.003    0.000 enum.py:1562(__and__)
      361    0.000    0.000    0.000    0.000 {built-in method from_bytes}
      360    0.000    0.000    0.000    0.000 typing.py:1565(__eq__)
      357    0.000    0.000    0.000    0.000 enum.py:1185(__init__)
      348    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
      341    0.000    0.000    0.006    0.000 {built-in method builtins.next}
      341    0.002    0.000    0.006    0.000 css_parser.py:1108(selector_iter)
      339    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:84(_unpack_uint32)
      335    0.000    0.000    0.001    0.000 typing.py:166(_type_convert)
      329    0.000    0.000    0.000    0.000 {method 'pop' of 'dict' objects}
      325    0.000    0.000    0.000    0.000 css_parser.py:312(get_name)
      322    0.000    0.000    0.000    0.000 {method 'sub' of 're.Pattern' objects}
      322    0.000    0.000    0.001    0.000 css_parser.py:248(css_unescape)
      316    0.001    0.000    0.003    0.000 typing.py:175(_type_check)
    315/4    0.001    0.000    1.852    0.463 <frozen importlib._bootstrap>:480(_call_with_frames_removed)
      311    0.000    0.000    0.000    0.000 typing.py:935(__eq__)
      308    0.005    0.000    0.778    0.003 <frozen importlib._bootstrap_external>:1593(find_spec)
      308    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:71(_relax_case)
      308    0.000    0.000    0.000    0.000 _compiler.py:428(_get_iscased)
  286/264    0.001    0.000    0.010    0.000 typing.py:392(inner)
      285    0.000    0.000    0.001    0.000 css_parser.py:344(match)
      270    0.000    0.000    0.000    0.000 {built-in method builtins.any}
      270    0.000    0.000    0.000    0.000 enum.py:241(__set_name__)
      270    0.000    0.000    0.000    0.000 types.py:192(__init__)
  267/174    0.000    0.000    0.000    0.000 typing.py:1258(__hash__)
      262    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
      262    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:645(parent)
      247    0.003    0.000    0.166    0.001 __init__.py:280(_compile)
