Sun Sep 21 13:01:59 2025    profilingResults.cprof

         412328 function calls (412239 primitive calls) in 9.649 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.001    5.001    5.001    5.001 {built-in method time.sleep}
      314    3.312    0.011    3.312    0.011 {method 'read' of '_ssl._SSLSocket' objects}
        1    0.735    0.735    0.735    0.735 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.068    0.068    0.068    0.068 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.064    0.064    0.064    0.064 {built-in method _socket.getaddrinfo}
        1    0.056    0.056    0.056    0.056 {method 'connect' of '_socket.socket' objects}
     3432    0.037    0.000    0.200    0.000 /usr/lib/python3.12/html/parser.py:320(parse_starttag)
    28430    0.030    0.000    0.030    0.000 {method 'match' of 're.Pattern' objects}
        2    0.027    0.013    0.329    0.165 /usr/lib/python3.12/html/parser.py:135(goahead)
     3432    0.018    0.000    0.026    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/builder/__init__.py:382(_replace_cdata_list_attribute_values)
     3432    0.017    0.000    0.093    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:990(handle_starttag)
    10215    0.012    0.000    0.012    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/element.py:377(setup)
     7118    0.012    0.000    0.051    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:829(endData)
       40    0.011    0.000    0.011    0.000 {method 'decompress' of 'zlib.Decompress' objects}
     3228    0.011    0.000    0.068    0.000 /usr/lib/python3.12/html/parser.py:398(parse_endtag)
     3432    0.011    0.000    0.107    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:142(handle_starttag)
     3433    0.010    0.000    0.043    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/element.py:1627(__init__)
    17314    0.009    0.000    0.009    0.000 {method 'group' of 're.Match' objects}
       12    0.008    0.001    0.008    0.001 {built-in method posix.stat}
     3432    0.008    0.000    0.052    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:204(handle_endtag)
    10196    0.008    0.000    0.008    0.000 {method 'search' of 're.Pattern' objects}
     3431    0.007    0.000    0.013    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:953(_popToTag)
     3391    0.007    0.000    0.016    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/element.py:1292(__new__)
    13613    0.007    0.000    0.012    0.000 /usr/lib/python3.12/_markupbase.py:44(updatepos)
     3438    0.006    0.000    0.006    0.000 {built-in method __new__ of type object at 0xa44b40}
        1    0.006    0.006    0.006    0.006 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/requests/models.py:909(text)
     3391    0.006    0.000    0.015    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:870(object_was_parsed)
     3433    0.006    0.000    0.007    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:812(pushTag)
    10091    0.005    0.000    0.005    0.000 {method 'count' of 'str' objects}
    19526    0.005    0.000    0.005    0.000 {method 'get' of 'dict' objects}
    18666    0.005    0.000    0.005    0.000 {method 'lower' of 'str' objects}
     7939    0.005    0.000    0.005    0.000 /usr/lib/python3.12/typing.py:392(inner)
     3391    0.005    0.000    0.008    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:735(string_container)
    22342    0.005    0.000    0.005    0.000 {method 'append' of 'list' objects}
        2    0.004    0.002    0.005    0.002 /usr/lib/python3.12/http/client.py:430(close)
     3432    0.004    0.000    0.005    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:789(popTag)
21354/21348    0.004    0.000    0.004    0.000 {built-in method builtins.isinstance}
     2589    0.004    0.000    0.006    0.000 /usr/lib/python3.12/html/__init__.py:91(_replace_charref)
     2400    0.004    0.000    0.010    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/filter.py:617(_attribute_match)
       13    0.004    0.000    1.795    0.138 {method 'join' of 'bytes' objects}
     3431    0.004    0.000    0.044    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:1056(handle_endtag)
    18283    0.004    0.000    0.004    0.000 {method 'end' of 're.Match' objects}
     2400    0.004    0.000    0.016    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/filter.py:539(matches_tag)
     2660    0.004    0.000    0.004    0.000 {method 'findall' of 're.Pattern' objects}
     3432    0.004    0.000    0.014    0.000 /usr/lib/python3.12/html/parser.py:364(check_for_whole_start_tag)
     1956    0.003    0.000    0.004    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:909(_linkage_fixer)
    10521    0.003    0.000    0.003    0.000 {method 'startswith' of 'str' objects}
      586    0.003    0.000    0.009    0.000 {method 'sub' of 're.Pattern' objects}
       42    0.003    0.000    0.025    0.001 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/filter.py:130(filter)
       41    0.002    0.000    0.014    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/urllib3/response.py:105(decompress)
     4706    0.002    0.000    0.019    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/filter.py:725(match)
     3448    0.002    0.000    0.005    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/filter.py:628(_match_attribute_value_helper)
     3300    0.002    0.000    0.004    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/builder/_htmlparser.py:222(handle_data)
12000/11993    0.002    0.000    0.002    0.000 {built-in method builtins.len}
     7845    0.002    0.000    0.010    0.000 /usr/lib/python3.12/html/__init__.py:122(unescape)
      314    0.002    0.000    3.315    0.011 /usr/lib/python3.12/ssl.py:1237(recv_into)
     3432    0.002    0.000    0.002    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/element.py:1821(is_empty_element)
     6932    0.002    0.000    0.002    0.000 {method 'start' of 're.Match' objects}
     4995    0.002    0.000    0.002    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/filter.py:293(matches_string)
     4720    0.001    0.000    0.001    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/element.py:2788(descendants)
     4534    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     3427    0.001    0.000    0.002    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/__init__.py:1068(handle_data)
        1    0.001    0.001    9.649    9.649 <string>:1(<module>)
      314    0.001    0.000    3.317    0.011 /usr/lib/python3.12/socket.py:693(readinto)
    12021    0.001    0.000    0.001    0.000 /usr/lib/python3.12/typing.py:2154(cast)
     4714    0.001    0.000    0.003    0.000 {built-in method builtins.next}
       63    0.001    0.000    1.771    0.028 {method 'read' of '_io.BufferedReader' objects}
     3433    0.001    0.000    0.001    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/builder/__init__.py:290(can_be_empty_element)
     3462    0.001    0.000    0.001    0.000 {method 'endswith' of 'str' objects}
        1    0.001    0.001    9.647    9.647 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/ex04/finacial.py:4(parser_yahoo)
     2487    0.001    0.000    0.002    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/element.py:2169(get)
     4995    0.001    0.000    0.001    0.000 /mnt/c/Users/hosse/school21/DS_Bootcamp.Day03.ID_886513-1/src/unellase/lib/python3.12/site-packages/bs4/filter.py:260(_base_match)
     3571    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
